Title,YouTube Link,brief_desc,Built With,By,Location,cluster
Davv AI,https://www.youtube.com/watch?v=6ONuSa48fb4,"The application is an AI-powered assistant that simplifies tasks across various operating systems through voice and text interactions, offering features such as natural language command interpretation and executable code generation using the Gemini AI API.","Web/Chrome, google speech recognition","Ali Debbache, abdou guerguer",Algeria,1
DDMD,https://www.youtube.com/watch?v=BxzJcNyZNEw,"The application uses a Random Forest-based model to classify digital drug music from audio files, leveraging 34 features extracted from these files and trained on 3,176 non-copyrighted MP3 files. The model is used in a web application that provides an intuitive interface for users to upload or enter YouTube URLs of audio files to be classified.","Web/Chrome, Google Colab, Google Slides, Google Sppech-to-Text AI",,Algeria,0
Elfelah,https://www.youtube.com/watch?v=FCaPwgGfqe4,"The application provides real-time disease diagnosis, crop management strategies, and actionable insights to farmers through an AI-powered system that uses external data and machine learning models.",Web/Chrome,Elfelah,Algeria,0
FormBlueprint,https://www.youtube.com/watch?v=xUN-rOcofdE,"The application uses FormBlueprint to create a conversational experience for businesses, educators, and researchers by generating form fields and sections with validation and branching logic, and then analyzing data through conversation to gain insights.","Web/Chrome, Google Drive, Google Auth","Mohamed Boudelaa, Amina Daoud",Algeria,0
GeoGemini,https://www.youtube.com/watch?v=lfnIxOIv0T4,"The application uses satellite imagery to analyze environmental changes, comparing images to detect trends and identify key features. It leverages advanced AI capabilities from the Gemini API to provide detailed insights and high-level analysis for research, education, and sustainability efforts.","Web/Chrome, Firebase",Ahmane Oussama,Algeria,1
InteractiveLearning,https://www.youtube.com/watch?v=uUh6DMrT2qU,"The application allows users to communicate their questions and ideas through easy-to-use tools, including drawing and sending screenshots with images, using a third-party API for authentication.",python PyCharm,youcef benslimani,Algeria,0
Khalili,https://www.youtube.com/watch?v=3S_ePl9TNQU,"The app assists visually impaired users by leveraging image analysis from the Gemini API to identify objects, read aloud written information, and provide location-based navigation with voice commands.","Android, most impact app, most useful app.","Boutheyna KIROUNI, Ilies OULD MENOUER",Algeria,1
Moadalaty,https://www.youtube.com/watch?v=CuZq3STZ65s,"The application uses the Gemini API to enable easy and smooth addition of specializations for university students, allowing developers to create new specializations without significant effort.",Android,AboNidal,Algeria,1
Nogap,https://www.youtube.com/watch?v=qLjlrzsZblA,"The application helps users identify skills gaps, generate customized roadmaps, track progress, and validate knowledge using a quiz-based system. It utilizes Gemini technology to analyze background information and provide personalized recommendations.","Web/Chrome, Firebase",Kohort,Algeria,1
Nojoom.AI,https://www.youtube.com/watch?v=OiS8FUCghNo,"The application is an AI-powered Arabic search engine that uses advanced language understanding, prioritizes reliable sources, generates unique content, and learns from user interactions to provide personalized results.","Flutter, Android, Web/Chrome",Nojoom.AI,Algeria,0
smartchatbot,https://www.youtube.com/watch?v=wSJDr8iZNcQ,"The application utilizes advanced AI-driven chat capabilities to provide assistance, information, and entertainment through a personalized experience with enhanced security and privacy features.",Android,techdigit-z,Algeria,0
agro.ia,https://www.youtube.com/watch?v=tFXvo8FdWwg,"The application uses artificial intelligence to help farmers identify crop diseases by analyzing images of affected plants, providing recommendations for pesticides and suggesting nearby product purchases.",Flutter,agro.ia,Angola,0
Tchissola,https://www.youtube.com/watch?v=yf9qts4t1FY,"The application allows users to design and play customized quiz challenges using a title, leveraging artificial intelligence for processing and generating content.","Flutter, Firebase",Gabriel Vieira,Angola,0
The Riddle Of Wisdom,https://www.youtube.com/watch?v=wsJ38gTs89k,"The application generates a word game by displaying partially masked words with only the first and last letters visible, allowing players to fill in the missing letters to solve riddles. It uses the Gemini API to curate a diverse array of high-vocabulary words.","Web/Chrome, Agular",NerdBug,Angola,1
Abuelo GPT,https://www.youtube.com/watch?v=BtuT80a_33s,"The application is a simple voice-to-text converter that uses a bot button to convert spoken words into text, which is then sent to an API of a virtual assistant service called Gemini, and subsequently converted back into spoken words.",Android,José Travacio,Argentina,1
Chess Commander,https://www.youtube.com/watch?v=egjmNUpfEQw,"The application uses AI-powered characters to teach communication skills through interactive gameplay, where players engage with unique personalities and challenges to develop key communication skills such as persuasion and active listening.","Flutter, Web/Chrome",HypeCat AI,Argentina,0
Game Master AI,https://www.youtube.com/watch?v=Vzwfl-osiXE,"The application is a personal AI Game Master that lets users experience RPG adventures, where they can craft characters, explore worlds, and make decisions that shape the narrative. It uses Google's Gemini Pro model to understand user intent, generate creative content, and engage in natural dialogue.","Web/Chrome, Firebase",AlfonsoM0 | Web Developer,Argentina,1
